test,loss,RNAP_dist,fold_change,k_on,width,threshold,k_off,k_cat
116,4.7347339021740105,455.67740615264734,42.40218075826673,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
117,0.07465601788142184,493.6318943132641,45.07847939573819,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
118,0.29726821141655607,299.8009467474633,22.361265317718498,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
119,0.5971985375614484,351.65059178892216,38.52678649413315,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
120,0.3572804045534396,472.28336274443876,24.090185840912213,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
121,2.0336403366682516,222.38106170245672,34.23730760582677,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
122,0.2548983981627441,411.87730560862514,30.62349929985176,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
123,1.3400787170690605,435.00758997818525,49.95404045617992,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
124,15.640193100203467,446.95012892646594,43.37649493892151,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
125,0.7645877987320286,497.88667024332267,29.117201324582773,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
126,7.73396894282326,460.8932009687055,47.27973280429448,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
127,9.122138994171515,485.56362343448734,19.827682517024478,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
128,0.07141606233263807,387.53874304690504,36.02610806450658,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
129,3.455462278150735,235.97901272461894,48.7857987865491,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
130,0.7498169843713528,157.9266639698833,45.35230787448257,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
131,0.0727445647452156,426.4959607383032,42.009209967919986,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
132,0.2526640298640184,474.2470760953956,46.18629316391733,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
133,13.081902492840277,335.7919118477638,44.44712397103513,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
134,0.39410473197326573,370.382063941254,39.03749684916339,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
